,이름,상태,주소,도로명 주소,구,행정동
0,서울시립대학교,기존,서울 동대문구 서울시립대로 163 (전농동 90번지) ,,동대문구,휘경2동
1,서울여자간호대학교,기존,서울 서대문구 홍제3동 서울여자간호대학,,서대문구,홍제2동
2,서울여자대학교,기존,서울특별시 노원구 화랑로 621 서울여자대학교,,노원구,공릉2동
3,서일대학교,학교명 변경,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,,중랑구,면목제3.8동
4,성공회대학교,기존,서울 구로구 항동 성공회대학교,,구로구,오류2동
5,성균관대학교,기존,서울 종로구 명륜동3가 성균관대학교,,종로구,종로1.2.3.4가동
6,성신여자대학교,기존,서울 성북구 동선동3가 성신여자대학교,,성북구,동선동
7,세종대학교,기존,서울 광진구 군자동 세종대학교,,광진구,군자동
8,숙명여자대학교,기존,서울 용산구 청파로47길 100 숙명여자대학교,,용산구,청파동
9,숭실대학교,기존,서울 동작구 상도동 511 숭실대학교,,동작구,상도1동
10,숭의여자대학교,기존,서울특별시 중구 소파로2길 10(예장동),,중구,필동
11,연세대학교,기존,서울 서대문구 신촌동 연세대학교,,서대문구,신촌동
12,이화여자대학교,기존,서울 서대문구 대현동 11-1 이화여자대학교,,서대문구,신촌동
13,인덕대학교,기존,서울 노원구 초안산로 12,,노원구,월계2동
14,장로회신학대학교,기존,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,,광진구,광장동
15,적십자간호대학,폐교,서울 종로구 경교장길8,,종로구,교남동
16,중앙대학교 서울캠퍼스,기존,서울 동작구 흑석로 84,,동작구,흑석동
17,총신대학교,기존,서울 동작구 사당동 산31-3,,동작구,사당3동
18,추계예술대학교,기존,서울 서대문구 북아현동 190-1 추계예술대학교,,서대문구,충현동
19,한국방송통신대학교,기존,서울 종로구 동숭동 한국방송통신대학교,,종로구,이화동
20,한국성서대학교,기존,서울 노원구 상계7동 한국성서대학교,,노원구,상계6.7동
21,한국예술종합학교,기존,서울 성북구 석관동 ,,성북구,석관동
22,한국외국어대학교,기존,서울 동대문구 이문로 107,,동대문구,이문1동
23,한국체육대학교,기존,서울 송파구 오륜동 한국체육대학교,,송파구,오륜동
24,한국폴리텍 I 대학 서울강서캠퍼스,기존,서울 강서구 화곡동 산60-1,,강서구,우장산동
25,한국폴리텍Ⅰ대학 서울정수캠퍼스,기존,서울 용산구 보광로 73(보광동 238),,용산구,보광동
26,한성대학교,기존,서울 성북구 삼선동3가 389 한성대학교,,성북구,삼선동
27,한양대학교,기존,서울특별시 성동구 왕십리로 222 ,,성동구,사근동
28,한양여자대학교,기존,서울 성동구 행당동 살곶이길 200,,성동구,사근동
29,한영신학대학교,기존,서울 구로구 경인로 290-42  한영신학대학교,,구로구,개봉1동
30,홍익대학교,기존,서울특별시 마포구 와우산로 94(상수동),,마포구,서강동
31,가톨릭대학교,기존,서울 서초구 반포동 505,,서초구,반포4동
32,가톨릭대학교,기존,서울 종로구 창경궁로 296-12(혜화동) ,,종로구,이화동
33,감리교신학대학교,기존,서울 서대문구 냉천동 감리교신학대학,,서대문구,천연동
34,건국대학교,기존,서울 광진구 화양동,,광진구,화양동
35,경기대학교,기존,서울 서대문구 경기대로9길 24 경기대학교,,서대문구,충현동
36,경희대학교,기존,서울 동대문구 회기동 경희대학교,,동대문구,회기동
37,고려대학교,기존,서울 성북구 안암동 고려대학교,,성북구,안암동
38,광운대학교,기존,서울특별시 노원구 월계동 447-1,,노원구,월계1동
39,국민대학교,기존,서울 성북구 정릉3동 국민대학교,,성북구,정릉3동
40,국제예술대학,기존,서울 강남구 논현동 79,,강남구,논현2동
41,그리스도대학교,기존,서울 강서구 화곡6동 그리스도대학교,,강서구,화곡본동
42,덕성여자대학교,기존,서울특별시 도봉구 삼양로 144길 33,,도봉구,쌍문1동
43,동국대학교,기존,서울 중구 필동3가 동국대학교,,중구,필동
44,동덕여자대학교,기존,서울 성북구 하월곡2동 동덕여자대학교,,성북구,삼선동
45,동양미래대학교,기존,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),,구로구,고척1동
46,디지털서울문화예술대학교,기존,서울시 서대문구 통일로 37길 60 (홍제동 318-18),,서대문구,홍제1동
47,명지대학교 인문캠퍼스,기존,서울 서대문구 남가좌동 50-3,,서대문구,남가좌2동
48,명지전문대학,기존,서울 서대문구 가좌로 134 명지전문대학 ,,서대문구,홍은2동
49,배화여자대학교,기존,서울 종로구 필운대로 1길 34 배화여자대학교,,종로구,청운효자동
50,백석예술대학교,기존,서울 서초구 방배로9길 23 백석예술대학교,,서초구,방배3동
51,사이버한국외국어대학교,기존,서울 동대문구 이문동 한국외국어대학교,,동대문구,이문1동
52,삼육대학교,기존,서울시 노원구 화랑로 815(공릉2동 26-21),,노원구,공릉2동
53,삼육보건대학교,학교명 변경,서울 동대문구 휘경2동,,동대문구,휘경2동
54,상명대학교,기존,서울 종로구 홍지동 상명대학교,,종로구,부암동
55,서강대학교,기존,서울 마포구 신수동 서강대학교,,마포구,대흥동
56,서경대학교,기존,서울 성북구 정릉4동 서경대학교,,성북구,정릉3동
57,서울과학기술대학교,학제 변경,서울 노원구 공릉로 232 (공릉동 172),,노원구,공릉2동
58,서울과학기술대학교,폐교,서울시 노원구 공릉로 232 서울과학기술대학교,,노원구,공릉2동
59,서울교육대학교,기존,서울 서초구 서초중앙로 96(서초동 1650),,서초구,서초1동
60,서울기독대학교,기존,서울 은평구 갈현로 4길 26-2호,,은평구,신사1동
61,서울대학교,기존,서울 관악구 관악로 1 서울대학교,,관악구,낙성대동
62,서울디지털대학교,기존,서울 마포구 도화동 560번지,,마포구,도화동
63,서울사이버대학교,기존,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,,강북구,미아동
